GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
486      | 0.945   | 6        | 2558     |    0.2% | Salud y belleza  >  Cuidado personal  >  Cuidado capilar
505820   | 0.909   | 6        | 1148     |    0.5% | Salud y belleza  >  Cuidado de la salud  >  Lociones y geles de conductividad
5192     | 0.912   | 6        | 420      |    1.4% | Ropa y accesorios  >  Disfraces y accesorios  >  Accesorios para disfraces
465846   | 0.900   | 6        | 129      |    4.7% | Mobiliario  >  Armarios y almacenamiento  >  Centros de planchado
923      | 0.928   | 6        | 504      |    1.2% | Material de oficina  >  Clasificación y organización
2778     | 0.917   | 6        | 616      |    1.0% | Juegos y juguetes  >  Juguetes  >  Accesorios para vehículos de control remoto
222      | 0.914   | 6        | 176      |    3.4% | Electrónica
499708   | 0.908   | 6        | 197      |    3.0% | Economía e industria  >  Equipo de protección para el trabajo  >  Arneses de seguridad en el trabajo
1871     | 0.920   | 6        | 187      |    3.2% | Casa y jardín  >  Protección contra inundaciones, gases e incendios  >  Alarmas contra incendios
2677     | 0.916   | 6        | 397      |    1.5% | Casa y jardín  >  Productos del hogar  >  Productos para lavado de ropa  >  Tendederos y perchas
7255     | 0.912   | 6        | 613      |    1.0% | Casa y jardín  >  Productos del hogar  >  Organización y almacenamiento  >  Cajones de almacenaje doméstico
2882     | 0.914   | 6        | 380      |    1.6% | Casa y jardín  >  Decoración  >  Tratamientos de la ventana  >  Cortinas y visillos
573      | 0.924   | 6        | 854      |    0.7% | Casa y jardín  >  Decoración  >  Cestas
3473     | 0.802   | 6        | 37       |   16.2% | Casa y jardín  >  Decoración  >  Cajas de música
500121   | 0.885   | 6        | 217      |    2.8% | Casa y jardín  >  Decoración  >  Accesorios de fragancias para el hogar
3809     | 0.933   | 6        | 3139     |    0.2% | Casa y jardín  >  Cocina y comedor  >  Objetos para llevar comida y bebida  >  Botellas de agua
4789     | 0.853   | 6        | 70       |    8.6% | Bricolaje  >  Suministros eléctricos  >  Alargador eléctrico
1167     | 0.916   | 6        | 321      |    1.9% | Bricolaje  >  Herramientas
3944     | 0.938   | 6        | 331      |    1.8% | Bricolaje  >  Accesorios para herramientas  >  Accesorios para taladros y destornilladores
6001     | 0.920   | 6        | 383      |    1.6% | Arte y ocio  >  Hobbies y artes creativas  >  Instrumentos musicales  >  Instrumentos musicales electrónicos
2392     | 0.913   | 6        | 610      |    1.0% | Alimentación, bebida y tabaco  >  Alimentos  >  Entremeses y aperitivos  >  Chips
1529     | 0.929   | 6        | 1037     |    0.6% | Alimentación, bebida y tabaco  >  Alimentos  >  Aliños y especias  >  Hierbas y especias
500048   | 0.892   | 5        | 176      |    2.8% | Productos para adultos  >  Armas  >  Accesorios y cuidado de armas de fuego  >  Fundas y maletas para armas
6362     | 0.918   | 5        | 257      |    1.9% | Mobiliario  >  Mobiliario de oficina
